traffic,listening_to_loud_music,flood,new_driver,rash,distraction,overloading,night_driving,bad_road,phone_use,high_way,urnban_city,excitement,tricycle_drivers,fatigue,alcohol,totalKilometers,harshBraking,frequency
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.806291631,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.853778264,17,4
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.34490528,49,11
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.65531184,226,12
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.24646501,6,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.320624925,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.554443694,2,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7859286,54,14
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34.26513433,53,2
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62.57573992,79,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28.8458074,8,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.748052989,6,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62.56726274,1243,20
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.76905415,6,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.309344303,4,3
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.399858851,4,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14.81681095,50,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.029693047,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.28870656,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.37076735,456,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.72717266,409,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.74298069,219,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.35978606,29,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02909562,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.623989329,49,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.908060083,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649097952,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.555847786,223,87
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97879562,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.984202299,50,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11103073,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.56650253,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.87485169,629,28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.90991194,375,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.89853814,146,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.87484023,39,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.33709413,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82808085,7,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.436830861,111,32
